text,true_label,predicted_label,confidence
"Urusi inavyotumia pesa nyingi kumlinda Putin dhidi ya Covid
Katika kilele cha janga la Covid, Rais wa Urusi Vladimir Putin alikuwa mmoja wa viongozi wa serikali waliolindwa zaidi ulimwenguni - bado hali iko hivyo, licha ya kuplegezwa  kwa hatua za kupambana na  coronavirus kote ulimwenguni. Kila mtu",politics,health,0.9781706
"Askofu ahojiwa na polisi kwa 'kuhamasisha maandamano ya kudai katiba mpya' Tanzania
Askofu Emmaus Mwamakula wa Kanisa la Uamsho la Morovian ameachiwa kwa dhamana baada ya kukamatwa na polisi kwa tuhuma za ''kuhamasisha maandamano'' ya kudai katiba mpya nchini Tanzania. Kwa mujibu wa mkuu wa kanda ma",politics,religion,0.97389257
"Coronavirus: Mapambano ya nyuma ya pazia kati ya Marekani na China baada ya mlipuko wa virusi vya corona
Iko wazi kuwa sasa dunia haiko katika wakati mzuri na uhusiano kati ya Marekani na China. Rais Donald Trump wa Marekani amekuwa akitoa matamsi ya mara kwa mara kuwa virusi vya corona  ni ""virusi ",business,health,0.9728378
"Tiger Woods apata majeraha kadhaa, afanyiwa upasuaji kufuatia ajali mbaya
Tiger Woods amekuwa akifanyiwa upasuaji baada ya kupata ''majeraha kadhaa ya mguu'' katika ajali ya gari mjini Los Angeles. Mshindi mara 15 wa mchezo wa gofu, mwenye miaka 45 ''alitolewa kwenye eneo la ajali'' na wahudumu wa z",sports,health,0.9677768
"Fahamu kwanini masaji ya asili ya samaki inaaminiwa kuwa ni salama Kilimanjaro Tanzania?
Ukiacha saluni palipozoeleka Chem chem ya Chemka mkoani Kilimanjaro ni moja ya maeneo yanayovutia wenyeji na wageni wengi wanaokwenda kufanya masaji ya samaki. Upo wasiwasi kuhusu usalama wa aina hii ya masaji. ",health,business,0.96080524
"Balozi wa Marekani aliyekosoa kufungwa kwa wapenzi wa jinsia moja aondoshwa Zambia
Marekani imemuita balozi wake wa Zambia nyumbani huku mzozo wa kidiplomasia ukiendelea kati ya nchi hizo mbili baada ya Balozi huyo kukosoa vikali hatua ya Zambia ya kuwafunga jela wapenzi wa jinsia moja, vyanzo vya u",religion,politics,0.95951754
"Tanzania Kenya zalalamika kuhusu matamshi ya 'chuki' ya mbunge Jaguar
Hisia tofauti zimeibuka kufuatia matamshi aliyotoa mbunge wa Kenya dhidi ya wachuuzi wa kigeni wanaoendehsa biashara nchini Kenya. Katika kanda ya video iliosambazwa pakubwa nchini Kenya na katika nchi jirani Tanzania, mbunge huyo",politics,business,0.95779103
"Vita vya Ukraine: Sura zilizotumika kumtangaza Vladimir Putin mitandaoni
ER Yamini msichana mwenye ushawishi katika mitandao ya kijamii nchini India, hajawahi kuchapisha kitu chochote katika mtandao wa Twitter  maishani mwake - anapendelea kuongeza wafuasi wake wakubwa kwenye mtandao wa  Instagram n",politics,technology,0.95346534
"Kwanini wanasema simu ya mpenzi wako sumu?
Wengi wanajutia au hata kufurahia uamuzi wao wa kujikuta wanachungulia ujumbe na mawasiliano ya wenzao katika simu zao za mkononi lakini matokeo yake ni jambo ambalo hawakulipangia. Ni kifaa kidogo cha mkononi ambacho kilifaa kurahisisha mawasiliano miongon",entertainment,technology,0.9503519
"Je vikwazo vya Marekani ndio sababu ya maandamano haya?
Maandamano yamezuka katika maeneo tofauti nchini Iran bada ya serikali kutangaza ghafla mpango wa kuuza mafuta kwa mgao na kuongeza bei ya bidhaa hiyo. Kwa mujibu wa ripoti ya shirika la habari la kitaifa bei ya mafuta ilipanda kwa 50% siku ya ",politics,business,0.9492798
"Virusi vya corona: Texas na majimbo mengine walegeza masharti licha ya onyo
Texas itaondoa hitaji la watu kuvalia barakoa na kuruhusu biashara kufunguliwa kikamilifu kuanzia wiki ijayo Gavana Greg Abbott ametangaza. "" Sasa wakati umewadia kuifungua Texas kwa asilimia 100' amesema gavana huyo wa cham",health,business,0.94511837
"Kauli ya Serikali ya Tanzania kuhusu t﻿ozo yapokelewa kwa hisia mseto
Y﻿usuph Mazimu, BBC Swahili S﻿erikali ya Tanzania leo imelazimika kutoa ufafanuzi kuhusu masuala ya tozo ya miamala ya simu na benki ambazo ni moja ya tozo zinazopigiwa kelele kwa muda sasa. I﻿ngawa tozo ya miamala ya simu ilianza",politics,business,0.9323287
"Damaris Muthee Mutua: Taaluma ya Mutua 'ilikuwa imeshika kasi' kabla ya mauaji
Mji wa Iten nchini Kenya umekumbwa na mauaji kwa mara ya pili ya mwanariadha wa kike katika muda wa miezi sita. Mauaji ya Damaris Muthee Mutua, 28, ambayo yaliripotiwa wiki hii yalijiri baada ya mshindi wa medali ya shaba",sports,politics,0.93106437
"Wanawake wanaocheza Kamari: 'Siku nilioshinda pauni 127,000, ndiyo siku mbaya zaidi maishani mwangu'
Kampeni ya uhamasishaji inazinduliwa ili kusaidia takriban wanawake milioni moja nchini Uingereza walio katika hatari ya kucheza kamari ya kuwaathiri. Shirika la kutoa misaada la Gamble Aware linasem",business,sports,0.9288784
"Aisha Bakari Mohamed: Dj wa kwanza mwanamke anayevalia hijab Zanzibar
Aisha Bakari Mohamed maarufu kama DJ Babymama ni msichana wa kwanza wa kizanzibari anaefanya shughuli za kupiga muziki katika maeneo mbalimbali (DJ). Huvalia mavazi ya kujistiri ikiwemo hijab wakati wa kazi zake, na kupiga muziki ",religion,entertainment,0.9277773
